Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es una característica del mármol?";"";"";"Se ha utilizado desde la antigüedad para construir edificios y esculturas.";"Es resistente a los ácidos.";"Es un material moderno para la construcción.";"Se usa principalmente en la actualidad para la construcción de tejados.";"";"";"es-material-stone-2"
"¿Por qué el mármol no es resistente a los ácidos?";"";"";"Porque está compuesto de caliza cristalizada.";"En realidad si que es resistente a los ácidos.";"Porque tiene propiedades únicas.";"Porque es un material moderno.";"";"";"es-material-stone-2"
"¿Qué destaca sobre el granito en relación con la erosión y la corrosión?";"";"";"Es muy apreciado por su gran resistencia.";"Se desgasta rápidamente.";"No se usa en la construcción de edificios públicos.";"Es vulnerable a la corrosión.";"";"";"es-material-stone-2"
"¿Dónde se ha usado ampliamente el granito?";"";"";"En recubrimientos de edificios públicos y monumentos.";"Solo en objetos cotidianos.";"En construcciones a la intemperie.";"En la antigüedad para escribir con tiza.";"";"";"es-material-stone-2"
"¿Qué material está sustituyendo al mármol en construcciones a la intemperie, debido al incremento de la lluvia ácida?";"";"";"Granito.";"Pizarra.";"Caliza cristalizada.";"Mármol.";"";"";"es-material-stone-2"
"¿Para qué se utiliza la pizarra?";"";"";"Para fabricar paneles planos usados en tejados.";"Para construir paredes de los edificios públicos.";"Para esculpir monumentos.";"Para tallar esculturas.";"";"";"es-material-stone-2"
"¿Cómo está formada la pizarra?";"";"";"Está formada por lajas u hojas planas y finas.";"Está formada por pequeños granos fuertemente unidos entre sí.";"Está formada por pequeños granos débilmente unidos entre sí";"Está formada por una textura rugosa.";"";"";"es-material-stone-2"
"¿Qué objeto cotidiano se hace con granito?";"";"";"Encimeras de cocina.";"Láminas para cubrir tejados.";"Esculturas modernas.";"Vigas resistentes.";"";"";"es-material-stone-2"
"¿Cuál de los siguientes pétreos se utilizaba para escribir con tiza?";"";"";"Pizarra.";"Granito.";"Mármol.";"Caliza cristalizada.";"";"";"es-material-stone-2"
"¿Cuál es una característica de la piedra caliza?";"";"";"Se utiliza desde la antigüedad como elemento de construcción.";"Se emplea como material de afilar.";"Es resistente a la lluvia ácida.";"Produce cuarzo al quemarse en un horno.";"";"";"es-material-stone-2"
"¿Qué componente fundamental del cemento gris se obtiene al quemar la piedra caliza en un horno?";"";"";"Cal.";"Cuarzo.";"Pizarra.";"Arena.";"";"";"es-material-stone-2"
"¿Cómo afecta la lluvia ácida a la piedra caliza?";"";"";"La disuelve.";"La fortalece.";"La hace más resistente.";"No tiene ningún efecto.";"";"";"es-material-stone-2"
"¿Qué estructura famosa está completamente recubierta de piedra caliza?";"";"";"La Gran Pirámide de Guiza.";"La catedral de Burgos.";"La torre Eiffel.";"La Gran Muralla China.";"";"";"es-material-stone-2"
"¿Cómo está compuesta la piedra arenisca?";"";"";"Granos de cuarzo y otras partículas unidas por un cemento natural.";"Caliza cristalizada.";"Granos de calcio.";"Compuesta solo de cuarzo.";"";"";"es-material-stone-2"
"¿Para qué se emplea la piedra arenisca?";"";"";"Material de construcción y en piedras de afilar.";"Recubrimiento de monumentos.";"Producción de cemento.";"Esculpir esculturas.";"";"";"es-material-stone-2"
"¿Cómo se utilizan la grava y las arenas?";"";"";"Junto al cemento para formar hormigón.";"En la construcción de catedrales.";"Para recubrir estructuras.";"Como elementos decorativos.";"";"";"es-material-stone-2"
"¿Cuál es la roca sedimentaria más común?";"";"";"Piedra arenisca.";"Piedra caliza.";"Granito.";"Mármol.";"";"";"es-material-stone-2"
