Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es el propósito principal del adware?";"";"";"Mostrar anuncios no deseados";"Mejorar la experiencia en línea";"Proteger nuestros dispositivos";"Aumentar la privacidad en línea";"";"";"es-ciberseguridad-amenazas-1"
"¿Cómo se propaga principalmente el adware?";"";"";"A través de descargas de software gratuitas, sitios web sospechosos y enlaces maliciosos";"A través de redes sociales populares";"Por medio de actualizaciones automáticas del sistema operativo";"Mediante el intercambio de archivos por correo electrónico";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué son las ventanas emergentes (pop-ups) asociadas con el adware?";"";"";"Ventanas que muestran anuncios o promociones mientras navegamos por Internet";"Ventanas que aparecen en el escritorio de nuestro dispositivo";"Ventanas que solicitan la instalación de software adicional";"Ventanas que proporcionan información útil y relevante";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué efecto pueden tener las barras de herramientas no deseadas instaladas por el adware?";"";"";"Modificar la configuración del navegador y redirigirnos a sitios web no deseados";"Optimizar el rendimiento del dispositivo";"Proteger nuestros datos personales";"Mejorar la velocidad de conexión a Internet";"";"";"es-ciberseguridad-amenazas-1"
"¿Cómo puede el adware alterar el comportamiento de nuestro navegador?";"";"";"Redireccionando a sitios web diferentes a los que intentamos visitar";"Mejorando la velocidad de carga de las páginas web";"Bloqueando anuncios y ventanas emergentes";"Restringiendo el acceso a ciertos sitios web";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué es la recopilación de datos personales por parte del adware?";"";"";"Rastrear y recopilar información personal sin nuestro consentimiento";"Proteger nuestros datos personales de terceros";"Permitirnos acceder a servicios en línea de forma más segura";"Mejorar la calidad de los anuncios que se nos muestran";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué impacto puede tener el adware en nuestros dispositivos?";"";"";"Ralentizar el rendimiento y consumir recursos del sistema";"Mejorar la seguridad y privacidad en línea";"Optimizar la navegación por Internet";"Aumentar la capacidad de almacenamiento disponible";"";"";"es-ciberseguridad-amenazas-1"
"¿Cuál es una medida efectiva para protegernos del adware?";"";"";"Descargar software solo de fuentes confiables y leer las opiniones de otros usuarios antes de instalarlo";"Hacer clic en anuncios sospechosos para obtener más información";"Desactivar las actualizaciones automáticas del sistema operativo";"Utilizar contraseñas simples y fáciles de recordar";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué se recomienda hacer en caso de sospechar que hemos sido afectados por adware?";"";"";"Estar atentos a cualquier cambio inesperado en nuestro navegador o comportamiento del dispositivo y tomar medidas";"Ignorar cualquier cambio y esperar a que desaparezcan por sí solos";"Reiniciar el dispositivo y borrar todos los archivos";"Compartir información sobre el incidente en las redes sociales";"";"";"es-ciberseguridad-amenazas-1"
"¿Cuál es una medida para evitar el adware?";"";"";"Configurar nuestros navegadores para bloquear ventanas emergentes y desactivar la instalación automática de complementos o barras de herramientas";"Hacer clic en cualquier anuncio para obtener ofertas especiales";"Compartir nuestros datos personales en línea";"Descargar software de cualquier fuente sin verificar su autenticidad";"";"";"es-ciberseguridad-amenazas-1"
