Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué valor tiene la intensidad de corriente?";"../images/electric-ley-ohm-01.png";"302";"3A";"12A";"0.33A";"2Ω";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la intensidad de corriente?";"../images/electric-ley-ohm-02.png";"302";"0.3A";"3.3A";"270A";"9V";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la intensidad de corriente?";"../images/electric-ley-ohm-07.png";"302";"0.1A";"10A";"1440A";"120Ω";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la intensidad de corriente?";"../images/electric-ley-ohm-08.png";"302";"1.5A";"0.66A";"150A";"15V";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la intensidad de corriente?";"../images/electric-ley-ohm-13.png";"302";"2A";"0.5A";"162A";"9Ω";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la intensidad de corriente?";"../images/electric-ley-ohm-14.png";"302";"0.24A";"4.16A";"2400A";"24V";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la tensión de la pila?";"../images/electric-ley-ohm-03.png";"302";"60V";"15V";"0.06V";"2A";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la tensión de la pila?";"../images/electric-ley-ohm-06.png";"302";"24V";"2.6V";"0.38V";"8Ω";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la tensión de la pila?";"../images/electric-ley-ohm-09.png";"302";"1.5V";"0.006V";"150V";"0.1A";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la tensión de la pila?";"../images/electric-ley-ohm-12.png";"302";"20V";"500V";"0.002V";"100Ω";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la tensión de la pila?";"../images/electric-ley-ohm-15.png";"302";"3V";"1200V";"8V";"0.05A";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la tensión de la pila?";"../images/electric-ley-ohm-18.png";"302";"5V";"20V";"0.05V";"10Ω";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la resistencia?";"../images/electric-ley-ohm-04.png";"302";"60Ω";"16Ω";"0.6Ω";"6V";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la resistencia?";"../images/electric-ley-ohm-05.png";"302";"3Ω";"27Ω";"0.33Ω";"3A";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la resistencia?";"../images/electric-ley-ohm-10.png";"302";"24Ω";"6Ω";"0.04Ω";"12V";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la resistencia?";"../images/electric-ley-ohm-11.png";"302";"500Ω";"0.45Ω";"15Ω";"0.03A";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la resistencia?";"../images/electric-ley-ohm-16.png";"302";"9Ω";"36Ω";"0.11Ω";"18V";"";"";"es-electric-ohms-law-2"
"¿Qué valor tiene la resistencia?";"../images/electric-ley-ohm-17.png";"302";"6Ω";"0.16Ω";"96Ω";"4A";"";"";"es-electric-ohms-law-2"
